City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,victoria,5.28,115.24,91.0,62,75,6.93,BN,1572758741
1,kodiak,39.95,-94.76,41.0,69,1,3.36,US,1572758682
2,aksarka,66.56,67.8,4.68,89,55,8.79,RU,1572758910
3,butaritari,3.07,172.79,84.45,76,50,16.33,KI,1572758723
4,ketchikan,55.34,-131.65,50.0,93,90,9.17,US,1572758752
5,beringovskiy,63.05,179.32,28.99,89,100,7.54,RU,1572758734
6,atuona,-9.8,-139.03,79.84,77,72,12.21,PF,1572758678
7,hilo,19.71,-155.08,80.6,74,20,5.82,US,1572758693
8,nikolskoye,59.7,30.79,36.0,93,90,11.18,RU,1572758692
9,vestmannaeyjar,63.44,-20.27,41.27,72,100,25.84,IS,1572758700
10,upernavik,72.79,-56.15,22.44,92,100,13.33,GL,1572758685
11,guadix,37.3,-3.14,59.0,87,75,9.17,ES,1572758912
12,mackenzie,55.34,-123.09,33.8,100,90,3.36,CA,1572758913
13,bluff,-23.58,149.07,86.83,40,60,17.6,AU,1572758686
14,carnarvon,-30.97,22.13,66.9,12,0,6.73,ZA,1572758637
15,douglas,58.28,-134.39,46.0,100,90,9.17,US,1572758913
16,iqaluit,63.75,-68.52,23.0,79,75,1.95,CA,1572758606
17,vaini,15.34,74.49,80.6,74,40,5.82,IN,1572758683
18,oistins,13.07,-59.53,80.6,83,40,13.87,BB,1572758914
19,ust-nera,64.57,143.24,-9.53,99,76,1.88,RU,1572758914
20,port alfred,-33.59,26.89,68.0,78,32,5.99,ZA,1572758689
21,hermanus,-34.42,19.24,60.01,91,99,1.99,ZA,1572758545
22,punta arenas,-53.16,-70.91,39.2,80,40,20.8,CL,1572758703
23,wajima,37.4,136.9,59.0,62,75,4.7,JP,1572758916
24,east london,-33.02,27.91,68.0,64,0,14.99,ZA,1572758617
25,yellowknife,62.45,-114.38,21.2,85,20,11.41,CA,1572758539
26,bay city,43.59,-83.89,37.99,80,90,11.41,US,1572758916
27,mackay,53.65,-115.58,37.4,100,90,3.36,CA,1572758917
28,severo-kurilsk,50.68,156.12,35.33,83,100,3.47,RU,1572758542
29,torbay,47.66,-52.73,44.01,93,5,4.16,CA,1572758714
30,bilma,18.69,12.92,76.21,17,0,7.47,NE,1572758917
31,lebu,8.96,38.73,62.02,48,27,8.25,ET,1572758688
32,middle island,40.88,-72.94,48.99,81,90,3.36,US,1572758918
33,souillac,45.6,-0.6,55.4,87,100,25.28,FR,1572758779
